doc,predicted,expected
SRS1,goal,goal
SRS1,description,description
SRS1,scope,scope
SRS1,requirements,requirements
SRS1,architecture,architecture
SRS1,users,users
SRS1,summary,summary
SRS2,goal,goal
SRS2,description,description
SRS2,scope,scope
SRS2,requirements,requirements
SRS2,architecture,architecture
SRS2,users,users
SRS2,summary,summary
SRS3,goal,goal
SRS3,description,description
SRS3,scope,scope
SRS3,requirements,requirements
SRS3,architecture,architecture
SRS3,users,users
SRS3,summary,summary
